"id","k","c1","c2","lt","unitVolume","initialStock"
100,33.75,7.01,584.7,6,0.7072,699
101,41.15,4.79,63.76,4,0.6034,1149
102,250.94,12.81,996.14,6,0.0726,1396
103,173.23,10.29,536.32,5,0.4882,2532
104,76.19,8.78,553.3,3,0.3394,1362
105,21.6,2.81,186.46,4,0.6949,682
106,118.48,9.38,262.55,4,0.1209,1202
107,151.38,12.99,624.74,3,0.2391,2266
108,69.81,7.44,410.49,3,0.0334,535
109,28.37,2.39,19.21,4,0.147,1869
110,32.47,1.97,164.75,5,0.5925,2180
111,180.25,9.97,892.86,4,0.527,1803
112,490.92,11.5,112.1,9,0.1606,2738
113,239.86,10.67,161.6,8,0.1821,1401
114,77.26,3.92,325.61,5,0.2861,1434
115,478.88,12.1,62.5,8,0.1176,5480
116,95.39,12.63,166.95,4,0.9326,1214
117,544.57,6.76,280.11,9,0.4508,3997
118,124.33,8.95,77.1,4,0.5817,1264
119,136.12,8.55,54.41,3,0.2454,1346
120,135.18,10.86,1072.22,3,0.6282,1364
121,20.98,9.08,358.87,3,4.1035,96
122,723.23,13.61,1248.18,9,0.3361,662
123,24.72,3.11,24.18,4,1.0507,970
124,2129.06,13.89,432.21,12,0.0885,5506
125,127.28,12.48,1149.89,4,0.1452,1177
126,34.38,3.92,163.6,5,0.4718,1121
127,29.52,4.25,60.15,4,0.5198,1215
128,98.42,9.37,564.05,4,0.077,2030
129,327.77,3.1,172.39,15,0.124,6679
130,52.08,11.6,119.22,6,1.1544,517
131,192.13,9.6,596.32,3,0.1651,2004
132,689.04,8.72,111.67,9,0.2429,3541
133,15.78,1.16,37.7,7,0.0291,833
134,79.08,6.21,180.7,4,0.1145,1790
135,66.94,7.88,205.01,4,0.7047,1273
136,100.35,5.67,69.91,5,0.3562,1426
137,48.11,3.38,104.06,4,0.3348,2567
138,209.43,4.41,28.07,11,0.0592,3139
139,91.08,9.31,522.28,5,0.1387,1108
140,40.76,4.28,25.94,4,0.1758,1476
141,67.08,4.69,54.56,3,0.406,1550
142,103,5.78,146.31,4,0.1222,1716
143,207.49,8.66,72.6,4,0.3818,2508
144,60.9,5.92,420.81,4,0.0277,1042
145,116.72,9.34,178.65,4,0.0364,859
146,13.94,1.69,87.65,4,0.6891,541
147,593.29,6.36,516.41,8,0.1783,4234
148,113.1,11.11,943.9,3,1.4372,836
149,57.29,5.04,402.59,5,0.0247,2087
150,115.48,10.44,339.36,4,0.5769,1177
151,122.59,7.3,316.49,4,0.275,1486
152,48.39,1.8,23.22,5,0.8349,1544
153,30.7,3.14,135.56,4,0.3018,793
154,113.96,10.76,693.91,3,0.1066,638
155,184.69,3.59,93.28,12,0.0752,3625
156,184.74,12.03,871.69,4,0.0575,1861
157,294.28,8.8,555.59,7,0.4682,1652
158,17.66,6.86,36.11,3,1.7998,602
159,73.32,4.26,400.4,9,0.4424,1959
160,79.07,10.95,930.65,4,0.3836,479
161,74.55,10.52,796.53,4,0.3761,1122
162,267.67,13.3,315.24,4,0.0463,2939
163,2.73,1.15,8.06,4,3.1933,369
164,22.73,2.68,182.75,4,0.6501,746
165,854.06,13.29,383.01,11,0.1721,4294
166,868.6,13.36,244.39,7,0.2449,3963
167,84.24,3.05,210.84,7,0.0116,1812
168,445.29,8.91,352.31,5,0.4841,2394
169,19.74,1.01,15.19,6,0.3414,917
170,102.61,11.41,785.95,3,0.1815,971
171,194.43,8.03,773.03,6,0.254,3301
172,8.91,3.15,292.84,6,0.0989,272
173,45.58,3.63,125.37,5,0.086,2113
174,159.46,6.69,581.95,5,0.1233,1337
175,220.82,11.03,804.48,4,0.5848,856
176,10.8,2.25,48.26,3,0.9852,681
177,7.56,1.66,136.5,4,1.1692,465
178,776.71,10.26,52.8,6,0.4227,3591
179,18.51,1.13,16.37,4,0.6181,2050
180,44.69,3.68,310.14,5,0.5308,1098
181,549.12,11.98,96.99,6,0.4087,2735
182,73.92,9.9,226.52,3,0.6746,573
183,180.26,9.02,198.14,4,0.4409,2031
184,233.74,5.14,59.62,8,0.1503,3422
185,49.15,4.86,92.34,4,0.5227,1158
186,54.97,3.01,89.3,5,0.3768,2934
187,223.31,4.83,111.34,9,0.295,1158
188,130.92,6.07,57.68,3,0.2526,1170
189,45.03,10.66,1051.11,4,1.3965,708
190,119.12,9.18,347.25,4,0.0639,941
191,4.85,1.29,46.63,3,1.4631,428
192,331.76,5.89,204.45,6,0.0096,3555
193,32.78,5.05,317.91,5,0.6654,1051
194,79.94,10.64,1015.02,5,0.6916,823
195,140.42,7.54,462.36,3,0.6927,1690
196,48.04,3.49,241.25,5,0.0331,1192
197,97.31,6.43,299.05,4,0.1133,869
198,49.48,5.74,115.29,6,0.1879,1350
199,36.11,2.85,244.74,5,0.5204,2102
200,17.02,2.91,20.49,3,0.3712,679
201,131.13,8.98,855.96,5,0.5384,2255
202,759.24,4.96,61.05,15,0.04,4214
203,93.16,5.58,292.02,3,0.333,2262
204,64.03,6.58,402.15,4,0.5464,850
205,32.22,4.29,76.8,3,0.0175,1585
206,123.85,4.96,106.59,7,0.1608,1439
207,118.69,9.32,99.37,4,1.0829,1221
208,187.91,12.98,721.42,3,0.3271,1275
209,33.55,2.1,39.13,5,0.1504,1968
210,131.29,8.76,87.19,4,0.104,1137
211,129.47,12.37,111.68,6,0.1273,1829
212,153.78,10.13,686.79,4,0.221,1810
213,467.32,7.13,220.3,7,0.0211,2244
214,154.47,7.81,622.15,4,0.1795,2906
215,631.09,12.43,980.81,5,0.1488,1828
216,82.79,4.75,187.61,3,0.043,1179
217,48.9,3.46,120.92,3,0.5454,1505
218,7.13,5.44,239.78,3,1.457,166
219,15.51,4.63,52.84,4,1.5384,191
220,36.76,2.37,164.85,3,0.8689,1048
221,83.23,7.33,473.41,4,0.6424,1149
222,160.79,10.48,390.03,3,0.7611,869
223,60.69,4.26,410.57,5,0.6184,1280
224,37.53,5.09,258.82,5,0.3145,376
225,760.42,9.68,396,10,0.1705,3979
226,240.66,13.35,410.64,5,0.1186,2534
227,255.69,13.59,833.63,5,0.0493,2825
228,42.02,2.42,215.85,6,0.0067,2697
229,56.91,5.37,303.43,3,0.3973,1542
230,1229.16,10.95,841.42,8,0.2593,3766
231,71.63,7.08,442.02,6,0.3555,1539
232,1028.79,11.49,633.58,6,0.0362,3692
233,287.35,2.3,109.64,16,0.1402,9125
234,19.21,1.63,61.96,4,0.7233,1020
235,66.13,3.88,110.49,4,0.5173,2244
236,54.4,1.07,25.76,8,0.3212,1332
237,108.68,13.79,78.01,3,1.7593,812
238,48.05,13.57,813.95,3,0.8324,334
239,169.2,4.91,294.05,9,0.4181,2641
240,129.47,5.2,71.11,4,0.3246,2154
241,18.55,3.59,90.49,3,0.411,707
242,43.31,2.08,20.41,8,0.0195,2008
243,242.29,11.79,108,6,0.0633,2878
244,175.82,13.95,179.28,4,0.881,1340
245,406.33,4.92,297.02,10,0.1844,3793
246,255.21,11.81,50.65,4,0.0514,2852
247,60.48,11.56,962.17,3,0.1624,1302
248,221.86,10.36,418.92,5,0.4493,3389
249,33.17,3.53,36.01,3,0.9361,1242
250,149.23,8.84,747.66,4,0.0884,1356
251,296.35,12.58,287.61,7,0.4023,1384
252,59.48,5.3,383.47,5,0.1501,869
253,541.71,8.85,750.89,10,0.3582,1372
254,26.95,6.87,70.22,4,0.1096,931
255,88.46,11.37,309.34,3,0.8161,933
256,20.89,4.7,338.75,6,1.1624,561
257,189.92,4.45,146.34,5,0.3,2304
258,113.81,12.48,178.21,4,1.0097,1036
259,121.04,8.6,179.85,15,0.4589,1134
260,97.07,12.64,346.78,3,0.1163,566
261,318.75,13.59,503.54,7,0.1575,2696
262,446.89,10.15,214.18,8,0.0343,1909
263,47.79,4.51,61.96,4,0.2718,817
264,65.33,4.88,105.64,3,0.1694,650
265,19.1,2.66,145.21,3,0.8655,1159
266,638.3,4.38,234.67,12,0.0075,4915
267,35.62,9.26,105.68,7,1.2253,415
268,57.9,5.86,488.23,3,0.603,1603
269,154.59,11.63,237.13,3,0.1667,1171
270,472.04,4.84,82.77,13,0.2688,4394
271,25.79,3.17,84.75,5,0.4379,753
272,287.44,13.63,78.81,6,0.2357,3097
273,146.44,12.83,1269.37,4,0.7949,715
274,70.01,2.39,36.64,8,0.1116,2415
275,47.82,2.79,201.85,3,0.7031,1377
276,57.05,1.83,34.5,8,0.7783,2231
277,153.83,12.22,922.83,3,0.8273,592
278,65.25,10.03,417.16,4,0.1407,1007
279,189.86,3.33,50.35,6,0.3149,3333
280,74.21,5.89,233.88,6,0.235,1246
281,302.89,8.1,429.4,5,0.07,1735
282,122.05,9.25,155.89,3,0.6485,1958
283,235.87,11.79,111.88,4,0.0253,1488
284,21.45,1.35,30,6,0.2308,1097
285,41.53,8.17,39.5,4,0.611,1002
286,102.37,10.83,774.71,5,0.5371,2107
287,104.35,11.48,177.52,5,0.1092,947
288,76.13,8.68,810.82,4,0.5614,1178
289,71.74,13.56,365.65,3,1.3397,816
290,48.65,7.5,440.57,3,0.576,1001
291,31.82,8.47,474.85,4,0.617,571
292,81.22,7.15,352.79,6,0.1449,1178
293,355.32,10.76,793.45,9,0.0962,3909
294,55.67,5.04,145.86,3,0.6175,1002
295,195.59,12.54,1134.81,5,0.258,2859
296,63.14,10.01,299.17,4,1.5347,423
297,32.8,5.43,316.23,6,0.6424,1093
298,418.36,5.02,24.29,9,0.1575,1959
299,114.83,9.39,576.41,6,0.4043,2192
300,167.52,11.84,783.54,6,0.0635,1221
301,70.02,6.27,534.95,3,1.6892,615
302,27.18,3.15,129.14,3,0.9059,445
303,113.86,7.99,258.07,4,0.2266,1447
304,148.45,9.16,265.65,5,0.3651,2434
305,71.93,5.16,78.78,4,0.106,1478
306,345.97,12.21,66.33,13,0.3502,1960
307,75.43,12.2,756.33,3,0.3965,461
308,187.62,10.22,704.1,3,0.6276,1592
309,39.26,4.86,132.08,6,0.2049,1150
310,100.35,9.08,81.6,4,0.5226,1011
311,77.96,5.8,200.49,4,0.7582,1081
312,188.74,11.1,682.56,4,0.441,1418
313,26.11,2.38,221.91,6,0.3504,1441
314,34.9,8.09,49.87,5,0.9336,571
315,57.79,3.62,129.88,3,0.8433,1014
316,73.18,7.49,46.05,6,0.2673,1213
317,84.93,7.28,165.03,3,0.289,884
318,487.53,11.92,563.36,6,0.3126,3598
319,93.75,7.26,232.7,4,0.1831,1560
320,159.65,10.86,441.68,5,0.12,2014
321,90.02,9.83,489.8,6,0.6437,1733
322,70.25,4.45,343.83,3,0.3181,1444
323,177.01,9.17,545.39,5,0.471,1210
324,36.96,6.6,270.45,6,0.2693,1283
325,108.11,8.92,167.16,6,0.4087,1525
326,107,10.23,60.31,4,0.4292,1040
327,15.01,1.03,5.29,6,0.3319,1876
328,17.35,9.78,594.66,4,0.7117,279
329,66.16,5.16,85.89,4,0.6542,1311
330,40.68,10.32,613.11,4,1.3343,719
331,100.22,5.73,153.68,7,0.7432,644
332,121.53,10.2,364.76,4,0.3262,861
333,47.81,3.43,107.76,3,0.0862,1810
334,59.63,3.38,43.99,4,0.3506,1522
335,14.4,1.56,147.45,5,0.305,743
336,60.01,6.3,98,4,0.3966,1435
337,75.63,5.98,382.11,5,0.4462,2120
338,34.1,1.29,127.23,6,0.0157,3316
339,103.69,3.01,225.34,5,0.3113,3230
340,203.4,6.83,401.73,10,0.2688,3986
341,278.92,13.02,647.88,3,0.2614,2473
342,197.84,11.36,313.52,4,0.4143,2288
343,217.22,11.52,247.64,3,0.5969,1065
344,61.02,3.6,70.59,6,0.0605,2999
345,46.82,5.62,344.24,5,0.51,1114
346,306.75,13.27,455.43,4,0.5679,2639
347,27.5,2.13,123.82,6,0.3238,1732
348,1795.9,13.43,82.88,14,0.1398,5345
349,22.57,1.93,47.61,4,0.2277,1025
350,74.71,5.58,23.97,5,0.6336,1092
351,109.09,7.28,434.23,3,0.9026,1795
352,412.93,12.16,69.06,6,0.267,1116
353,50.05,5.34,463.31,4,0.1262,730
354,158.06,12.27,341.44,5,0.1231,898
355,83.13,4.1,395.13,5,0.2495,1986
356,138.86,13.75,1066.31,4,0.2615,1637
357,207.06,7.43,533.06,8,0.1759,2318
358,103.42,6.36,146.89,3,0.5769,723
359,12.05,1.06,50.09,8,0.6654,611
360,340.37,10.37,1036.43,10,0.0376,3598
361,45.46,3.09,217.14,3,0.5759,1039
362,25.39,3.84,15.85,3,0.8055,426
363,22.94,11.02,604.11,4,0.593,596
364,73.29,7.85,475.35,3,0.1757,1210
365,399.38,2.76,90.11,9,0.0114,4541
366,310.36,3.31,32.09,11,0.1858,4730
367,1716.85,13.74,841.71,10,0.0216,2493
368,9.57,4.26,104.93,4,0.2797,404
369,47.58,7.83,179.22,4,1.2536,392
370,36.93,5.35,50.69,4,0.0785,746
371,770.87,10.82,494.21,6,0.3292,1931
372,42.47,2.94,24.93,3,0.3299,1040
373,9.44,1.92,106.29,6,1.0489,440
374,414.03,13.47,1312.8,5,0.1762,774
375,14.47,1.09,70.36,4,0.0406,1786
376,38.07,2.77,32.93,4,0.3413,1668
377,94.05,11.29,1079.5,4,0.1215,585
378,90.3,3.23,15.01,4,0.213,1766
379,325.26,13.06,879.45,10,0.3437,1523
380,44.52,10.96,677.39,3,0.9199,463
381,186.23,9.05,399.37,5,0.1216,2144
382,91.88,4.46,397.3,3,0.8603,1520
383,48.45,6.28,210.18,5,0.5242,1693
384,45.6,7.88,192.5,4,0.0336,933
385,95.94,6.33,185.91,4,0.3786,1541
386,101.08,11.1,320.52,5,0.1246,878
387,180.1,12.74,719.8,4,0.1102,1728
388,128.1,9.4,121.53,3,1.2014,724
389,153.73,7.3,118.97,3,0.0307,1669
390,171.84,8.83,78.45,6,0.2044,3588
391,678.34,6.2,535.9,10,0.006,3391
392,280.26,8.12,43.18,5,0.3423,3356
393,167.67,12.87,227.13,3,0.0282,1068
394,58.38,9.85,120.89,6,0.7591,1145
395,51.56,6.75,254.9,6,0.2702,366
396,6.3,1.69,27.31,5,1.7752,482
397,16.05,2.3,170.06,6,0.7585,1076
398,19.82,1.79,46,4,0.5948,834
399,22.18,3.42,107.57,4,0.3863,1136
400,216.99,5.05,272.39,6,0.4268,2217
401,43.39,7.31,270.24,3,1.3113,659
402,50.21,7.08,469.1,5,0.5068,1090
403,844.34,11.85,147.57,8,0.2241,5081
404,75.19,10.74,240.52,4,1.6017,376
405,133.54,10.86,230.19,4,0.349,1279
406,42.68,3.6,63.9,4,1.0077,963
407,80.63,6.58,434.46,4,0.6452,1655
408,118.8,10.21,132.08,4,0.9996,904
409,68.11,13.8,1233.67,6,0.834,506
410,116.71,6.27,517.82,4,0.3203,1891
411,99.54,10.3,464.92,4,0.8899,1669
412,82.52,11.25,392.87,4,0.2865,1219
413,84.47,6.87,329.89,5,0.3381,2428
414,54.23,12.67,1253.67,5,0.4996,726
415,154.28,3.61,249.86,11,0.3376,1841
416,71.78,8.39,347.44,4,0.0551,1131
417,111.64,2.44,113.69,7,0.3856,2797
418,16.11,2.37,39.42,4,0.8821,1112
419,42.11,3.94,117.6,4,0.4336,1896
420,181.35,10.97,202.76,6,0.3763,2054
421,69.49,6.49,458.1,4,0.4661,1111
422,107.64,6.48,319.61,4,0.2801,2142
423,142.82,12.31,188.92,4,0.0365,1184
424,140.86,8.25,35.71,4,0.7268,1546
425,48.07,5.11,60.06,4,0.7717,1564
426,58.09,13.41,296.03,3,1.3584,528
427,212.5,3.64,170.82,11,0.1811,2268
428,247.28,9.67,519.33,6,0.2878,2571
429,106.73,11.18,278.06,3,0.4114,726
430,180.8,10.12,720.03,12,0.2856,682
431,50.44,13.3,668.87,4,0.3833,699
432,19.3,1.96,21.21,3,0.9462,1580
433,1114.89,7.37,255.02,9,0.1241,6228
434,205.68,13.49,130.03,4,0.7205,1344
435,413.95,11.62,503.9,7,0.0127,2288
436,30.27,3.93,332.97,3,1.753,403
437,7.82,2.9,20.97,5,2.0685,386
438,356.49,12.68,505.99,5,0.3266,2577
439,135.42,9.89,172.87,5,0.4357,1173
440,266.07,9.25,548.07,9,0.2658,1471
441,86.36,10.97,450.13,3,0.8021,906
442,7.07,1.3,23.35,3,1.4557,556
443,1932.05,13,1288.84,9,0.0448,5699
444,63.72,6.99,62.69,5,0.4863,1173
445,14.23,1.92,35.85,4,0.8042,1048
446,46.46,2.27,115.1,5,0.3824,2288
447,262.69,11.02,1011.86,4,0.2853,2130
448,255.62,12.4,191.84,4,0.1401,2179
449,427.92,10.41,158.43,10,0.0525,2391
450,188.8,1.22,110.73,15,0.0992,9211
451,454.57,10.29,824.01,12,0.0136,1197
452,26.33,2.67,262.75,3,0.6017,1776
453,74.87,5.08,447.14,3,0.8821,1371
454,94,6.29,515.43,6,0.4249,2799
455,244.13,5.41,54.88,6,0.0533,4040
456,76.53,4.4,376.91,5,0.5216,1913
457,198.43,11.27,180.3,6,0.0932,3079
458,907.1,11.17,315.42,10,0.2658,2695
459,258.98,5.95,225.57,7,0.124,4074
460,193.09,11.53,981.41,6,0.3908,1607
461,138.26,9.29,200.92,4,0.4776,1735
462,53.58,9.17,435.2,3,1.7996,572
463,122.82,12.96,674.58,6,0.0635,1570
464,8.61,1.07,43.77,3,0.28,519
465,205.48,13.86,473.55,4,0.6161,1050
466,75.47,3.34,35.11,4,0.2501,2117
467,441.97,8.61,742.61,11,0.0212,2661
468,64.43,2.68,229.81,6,0.1654,3288
469,48.56,2.95,241.43,4,0.5213,1145
470,26.58,6.19,149.97,3,0.4073,756
471,9.61,3.01,253.51,5,1.0148,463
472,19.38,2.46,44.92,4,0.9096,1219
473,39.87,11.35,214.96,3,1.2395,378
474,9.03,2.02,66.61,6,0.4689,620
475,140.17,6.85,268.05,6,0.2195,2865
476,20.95,2.58,249.9,4,0.2406,1709
477,86.12,5.58,22.51,6,0.1338,2754
478,270.7,12.88,722.74,6,0.6231,1283
479,110.52,9.11,463.7,6,0.3279,1066
480,54.82,6.23,126.03,3,0.7121,947
481,67.66,7.4,243.33,4,0.2332,1619
482,236.12,13.95,917.95,4,0.3106,1741
483,289.46,4.23,266,6,0.0348,2649
484,38.33,4.75,104.24,4,0.0659,1107
485,1029.75,10.89,394.03,9,0.2292,3325
486,52.28,7.48,215.5,3,1.6318,269
487,259.22,13.41,220.3,5,0.46,1955
488,105.22,5.65,48.74,4,0.5541,1424
489,130.33,4.89,179.44,7,0.1508,2306
490,209.9,9.38,70.13,4,0.184,1255
491,150.32,7.5,192.21,4,0.2556,2022
492,81.36,9.09,239.31,4,0.3876,1155
493,44.18,3.47,222.23,4,0.4026,1723
494,501.35,9.12,526.06,5,0.094,2416
495,560.57,6.76,460.4,10,0.1309,4886
496,67.58,13.92,1046.36,4,0.1497,649
497,32.64,1.5,36.59,9,0.4435,1576
498,130.97,9.18,798.34,4,0.2749,881
499,89.22,10.09,708.6,4,0.5882,1205
500,68.46,7.3,79.61,4,0.8137,1204
501,24.22,1.83,59.69,4,0.084,902
502,125.82,6.01,571.43,4,0.4372,1667
503,99.8,12.2,1069.57,5,0.7045,1524
504,70.57,2.78,172.4,8,0.1232,1880
505,79.95,12.26,778.95,4,0.2927,912
506,175.34,2.19,123.83,7,0.2472,5329
507,42.46,3.31,140.13,4,0.7249,1149
508,40.95,4.92,454.45,4,0.6138,1182
509,93.35,13.62,220.81,5,0.0584,577
510,72.23,4.13,24.28,3,0.4798,1968
511,1081.54,13.81,911.82,9,0.0476,2931
512,81.99,5.28,55.77,4,0.49,1236
513,180.19,13.99,374.66,8,0.1737,953
514,41.72,3.38,223.22,4,0.4727,1491
515,107.09,10.75,73.83,3,1.1636,1097
516,90.36,10.08,45.39,3,0.0277,1328
517,66.58,10.72,141.21,4,0.448,457
518,219.46,12.22,738.9,6,0.1826,2639
519,188.86,11.15,344.59,4,0.4126,2676
520,41.98,10.94,685.63,3,1.5482,831
521,57.29,7.44,85.12,5,0.2473,1184
522,5.23,2.61,73.91,3,1.2487,307
523,163.02,4.57,167.11,8,0.1735,1186
524,173.89,7.22,469.18,3,0.5614,2724
525,198.73,9.4,73.05,3,0.2052,2669
526,105.64,6.33,302.34,4,0.2876,838
527,67.25,10.85,308.29,4,0.0981,1205
528,98.57,6.01,245.44,3,0.7247,1483
529,141.69,10.21,428.84,4,0.5789,1293
530,55.36,7.63,108.71,5,0.6244,655
531,41.5,13.04,81.04,3,0.3858,375
532,63.82,2.84,17.64,8,0.0354,2765
533,73.83,10.48,731.57,4,0.6556,945
534,205.26,11.81,290.08,5,0.1519,1276
535,58.84,3.9,24.87,5,0.4539,1618
536,13.7,3.74,20.5,3,1.4438,759
537,654.39,6.08,212.17,9,0.2257,4118
538,65.61,4.27,283.33,4,0.3542,2272
539,104.03,6.89,414.12,5,0.2132,1417
540,365.84,8.21,272.6,5,0.3594,3127
541,19.52,2.48,76.68,4,0.1101,1208
542,112.58,12.23,528.79,4,0.7086,1144
543,48.62,7.39,718.91,6,0.0711,471
544,251.89,5.6,223.07,7,0.1178,1578
545,747.11,12.95,1288.6,7,0.3033,2004
546,294.58,8.92,581.88,12,0.1289,2992
547,377.63,4.5,353.67,10,0.5337,2436
548,89.05,9.29,163.33,3,1.4226,503
549,63.33,3.71,171,5,0.406,1236
550,55.71,3.52,96.51,5,0.2718,2390
551,89.79,12.49,460.23,5,0.9172,1456
552,634.43,8.29,207.86,7,0.0077,4045
553,206.36,12.12,368.91,4,0.1668,2374
554,61.32,7.84,460.8,4,0.7215,922
555,24.39,1.05,72.88,4,0.2069,1792
556,12.14,1.1,49.98,3,0.215,2036
557,31.47,10.18,849.17,5,1.3618,725
558,60.59,3.74,65.47,3,0.4313,1090
559,31.77,3.47,88.22,4,0.1926,1332
560,157.21,13.79,90.82,6,0.0291,2415
561,53.69,3.45,36.31,4,0.4816,2807
562,62.09,10.2,419.06,5,0.8404,786
563,1800.62,8.98,551.66,10,0.0868,9446
564,55.32,7.79,167.71,4,0.2137,1138
565,1184.1,9.35,232.93,10,0.2336,4344
566,146.52,11.59,380.93,3,1.0021,935
567,134.26,7.5,184.61,4,0.6165,1237
568,65.66,5.13,56.78,4,0.2861,1633
569,32.82,2.17,86.21,3,0.0727,1791
570,232.46,5.91,563.93,10,0.3732,1744
571,139.34,3.76,30.46,6,0.1162,2483
572,35.11,5.42,519.99,6,0.2614,693
573,295.39,4.32,307.73,10,0.2346,4782
574,647.33,3.72,86.77,9,0.1385,8308
575,83.47,12.36,80.54,6,0.3531,1782
576,529,5.39,38.34,7,0.1172,4602
577,107.15,4.15,40.17,4,0.3501,1879
578,50.15,2.44,190.5,4,0.3883,1790
579,48.14,10.43,230.03,6,0.4228,545
580,481.87,7.91,147.41,7,0.1186,1631
581,44.22,11.6,75.49,4,0.7654,270
582,581.42,10.52,60.83,16,0.0383,2156
583,54.38,3.33,124.34,5,0.1164,3433
584,43.82,4.44,152.1,5,0.2219,1453
585,372.46,12.64,242.15,7,0.1873,2450
586,175.62,7.89,115.25,6,0.1873,2580
587,96.36,2.67,119.65,9,0.1288,2209
588,18.25,4.86,246.17,5,2.2725,304
589,60.3,5.78,120.26,6,0.5122,863
